,exam_score
9365,59
41268,100
73852,100
64461,100
27624,58
60274,100
15245,95
51496,63
73457,86
72638,98
64352,91
55446,74
61893,81
9929,100
72484,95
35997,100
11437,94
33354,62
63356,85
51031,73
63663,59
70223,100
53629,96
17530,100
60643,90
12747,98
12658,99
49008,85
57155,81
28022,99
40370,82
51684,100
21480,93
9998,99
46984,100
25680,84
12057,100
52147,68
10211,89
31267,100
22946,67
55759,88
69176,99
29024,89
25511,89
40875,97
27725,91
72649,100
47693,70
9571,77
27338,82
23625,94
72333,73
56315,75
76959,100
66531,100
19305,94
21079,72
15751,92
79723,91
44978,100
40254,100
55517,100
75873,97
44345,100
23241,100
79745,94
79956,90
59671,98
26211,72
40181,83
73619,92
11495,95
38800,100
18231,100
28942,98
36669,100
73151,77
7860,86
28723,100
15475,97
70442,62
13232,95
52875,88
14244,95
8738,98
76802,100
12395,51
51390,96
41913,100
73691,100
51940,85
27079,70
25896,100
28402,74
29459,97
50126,79
5484,97
75982,86
5099,96
65208,84
22590,100
45130,84
24401,92
38471,59
13654,95
22468,62
26590,73
36298,97
8574,80
15580,79
43561,96
8499,96
17890,100
61898,86
11943,98
64833,67
76731,98
17480,100
15411,80
59771,100
53124,70
36746,100
15574,91
73043,98
2603,89
29425,100
14472,100
16642,94
5399,89
586,65
33355,94
67267,86
69105,82
26550,53
56485,90
2489,64
67005,100
14545,82
46423,100
35418,74
44281,100
24994,100
56832,100
73846,84
26733,91
20426,84
73679,94
19748,100
41241,100
42735,73
35972,86
11374,100
54182,91
48497,100
38165,85
78149,73
69415,99
16621,68
70424,94
76096,100
35155,71
7576,74
50360,100
8028,93
21646,100
6604,71
36955,92
21016,98
31564,95
50006,89
26163,100
41549,94
62036,94
42413,92
53972,100
56389,91
73476,89
42227,93
908,78
45858,100
51158,100
66577,87
24872,90
32402,96
32813,100
19466,100
46812,55
22600,91
34240,72
707,97
71340,79
65642,100
22099,94
73983,96
27076,83
17493,93
16724,79
63525,99
41673,93
7815,82
12910,100
29802,66
19900,100
79084,100
38853,95
52479,94
70856,93
63056,86
65745,89
56172,95
8502,93
74407,100
7288,89
61077,100
1579,91
61987,93
32807,74
30841,97
44513,91
65140,98
25121,100
10549,98
56083,73
38653,78
32374,73
51990,90
23774,100
32998,94
10067,100
64766,94
63362,95
53280,78
65359,91
64935,74
48901,91
74483,98
61627,100
10197,87
6346,96
24294,89
49102,100
23116,100
17696,97
33521,92
9570,80
30408,98
58003,89
42680,62
48486,95
45598,97
68225,83
20641,84
44595,95
77228,99
70598,100
2481,85
55219,100
57704,100
52937,86
60575,75
45437,100
16439,87
61516,78
39746,85
71595,79
60270,100
11948,78
42357,95
3869,88
2409,100
34846,88
63254,80
11947,95
60733,87
34031,88
60872,100
66430,78
72061,87
47699,93
33821,98
24148,100
61812,89
55595,78
79954,77
45074,64
12772,100
1130,68
50452,100
46486,69
62961,84
75062,92
79733,100
65707,92
58380,85
15955,78
48993,87
70218,81
14896,100
57244,69
58043,81
47243,89
59899,100
68219,98
44388,76
2200,90
18284,92
79879,100
76308,94
5761,100
8255,80
42772,94
10979,100
3973,98
11612,95
20891,95
75257,85
36466,56
31374,100
58249,55
13447,100
64552,94
17920,86
17985,78
58851,100
9147,100
17865,97
49281,89
38037,98
28572,90
64529,100
1127,83
70703,100
78297,100
1898,87
29457,72
52556,56
21892,81
35504,92
36614,100
65922,76
59523,84
34811,100
59056,99
67758,73
6073,89
28872,94
18485,78
23310,78
67440,87
71943,100
42875,79
61193,99
66212,100
37190,100
55654,100
27136,100
49646,100
63273,99
2205,90
32991,100
48363,100
74264,86
55817,94
75477,68
24431,95
36641,100
60918,100
7608,99
20341,100
75394,91
20062,92
16139,93
37396,97
38917,99
3020,100
40469,95
18320,95
10276,100
45842,100
30105,100
14,77
78518,97
55312,98
26560,95
74288,81
4761,78
63228,74
8487,92
21411,65
9764,98
12098,82
30260,82
17797,89
68499,100
8342,86
52036,96
69550,90
30730,100
12923,96
17959,100
13202,78
32968,99
22842,77
2221,98
43577,92
55528,79
68900,98
66250,85
79771,99
77672,68
78679,60
48621,97
9600,97
39140,95
47436,96
20175,71
42405,98
32004,97
66431,89
8881,94
51519,100
13787,95
57365,100
68707,83
37692,91
66613,85
43257,97
63492,72
47296,93
33566,85
71802,79
51725,99
59915,67
73625,80
74364,100
7847,100
77870,87
74401,96
50801,89
54269,99
76120,85
12570,64
8720,100
28328,93
66855,100
7612,92
41809,81
67036,100
56451,95
43275,98
36106,100
77636,90
38523,84
14332,100
72662,90
55005,100
2539,92
41036,60
69141,95
15164,90
56704,100
60921,100
44826,94
65718,100
43451,83
2640,80
21668,97
51899,93
59566,63
51417,75
61657,82
23802,90
3655,75
46666,100
71179,71
60605,59
77367,98
75829,86
23982,100
27830,73
46581,98
25267,80
8069,90
60901,87
12885,99
12541,97
62227,96
30637,87
26423,93
62723,100
24999,100
13526,80
18678,100
53192,100
58092,100
28565,67
37819,92
681,96
64650,100
78968,81
26168,80
75299,65
30755,94
72780,97
10430,99
70938,100
39043,71
25579,100
53957,100
54710,86
34700,89
21128,89
25867,82
17468,82
42242,95
55951,84
50696,74
5778,88
50401,77
777,90
8997,81
37616,84
10857,100
53880,95
58167,100
12943,89
4391,76
51880,71
36064,99
36462,100
39345,93
24481,83
77258,61
23166,99
70740,92
50334,79
46313,94
62413,88
40255,100
74868,90
76489,84
25259,98
28428,77
47538,100
15631,100
36195,100
38026,75
75133,87
44074,91
59655,73
49233,93
37347,91
52553,94
69233,98
33139,80
65993,91
31812,100
30173,89
79777,96
55752,83
37640,72
75443,93
61292,94
42883,100
6385,99
50038,92
35469,100
75735,99
71941,100
17978,68
71805,100
50665,100
2181,96
66996,95
29862,98
19034,65
51671,100
65638,62
43046,80
15521,82
58841,95
22514,96
23221,100
63624,100
66455,82
33839,75
37229,71
13265,96
26318,92
63440,98
53543,98
16530,100
17858,100
43160,100
35323,99
22627,90
36878,92
24137,82
26378,84
77505,95
62855,100
28582,86
49574,92
39475,100
76871,90
19094,67
50365,96
32097,100
15072,85
79147,100
19361,56
3162,82
43538,96
17092,82
73870,95
30078,93
60020,100
40448,94
70198,99
75906,100
29667,79
71043,98
51542,99
78629,98
34793,94
74619,77
31,93
64444,81
63018,95
38737,85
57944,100
8928,95
53162,78
12129,95
9778,75
17566,79
47308,99
67350,66
15645,97
24854,71
16047,66
43873,98
11413,98
66336,89
66544,96
69208,78
70913,88
8305,100
48699,94
19116,83
57401,72
27709,81
4825,100
34044,91
70304,82
70060,87
79125,81
51233,84
25639,93
5113,88
924,94
62461,100
36336,100
59299,58
56075,100
71888,95
23067,100
27800,87
7700,78
16518,100
20043,100
29654,100
39570,100
11720,89
65647,100
55214,95
43927,76
48585,96
2594,98
72121,100
8167,71
63856,95
53084,98
26890,100
27885,67
10718,68
22478,83
78632,77
77614,82
25378,96
18339,82
59416,96
61080,81
33091,71
77200,82
17757,99
72167,99
22756,93
42223,88
58928,68
12667,100
77533,89
76074,89
32169,97
19577,93
72530,100
25507,99
61951,99
45218,73
40571,99
23922,88
22855,100
69742,100
15381,94
38681,94
46221,78
43558,90
6791,89
47367,85
51851,99
53510,100
19940,96
14285,90
73721,100
42661,91
22663,96
15817,95
60420,100
67787,99
65893,95
9315,100
23021,90
40672,98
42306,68
23693,96
19848,92
29336,100
67728,91
48187,100
77277,100
48501,100
54041,96
13167,100
25290,97
62632,100
15626,74
44413,69
72709,83
59773,79
31806,97
2407,100
65059,87
54927,95
16479,90
77674,89
1289,68
48180,81
72960,76
5976,86
55117,100
62689,100
14068,100
70874,100
34075,60
63331,95
54736,92
24414,100
46013,78
45532,100
77510,88
68059,100
17312,94
49481,86
53229,100
28383,90
68380,98
65335,90
48043,86
74674,100
42464,73
74624,96
21864,100
54394,67
51913,100
26873,96
11161,84
14853,82
16307,86
39439,97
16183,99
25823,91
76750,92
55852,58
57404,100
63930,100
27494,100
59821,50
41524,97
44895,100
2065,68
74396,100
21167,100
32639,97
73577,82
6687,81
55088,100
72515,100
1065,72
1109,89
2850,89
62654,85
59804,100
58409,91
68331,100
30544,90
3404,100
72944,100
55907,95
9923,98
18422,100
57434,92
17207,80
4566,100
22350,62
68908,85
21664,82
41188,80
53923,100
52919,99
60532,100
70452,100
69310,96
9885,100
11929,97
75233,63
75788,100
23949,100
14559,100
43646,77
4776,100
42387,95
21807,92
25630,94
28738,95
7473,95
63433,94
46742,77
14314,94
51644,94
69157,100
78862,100
27457,93
3556,97
72173,78
23418,97
61561,100
65256,100
1596,100
41263,95
32173,69
16579,87
61520,100
7561,100
58960,85
59017,100
55710,99
61191,84
55437,94
71362,70
4089,69
36323,91
26765,100
6965,100
77146,99
65238,100
31287,100
78126,98
13351,100
69829,91
29532,80
4597,77
25110,100
54797,81
32195,100
35564,100
14312,100
62262,95
17538,77
35750,40
71790,83
78580,98
21467,94
30567,80
31217,100
76980,60
73592,66
30553,93
24019,80
73546,100
68675,96
49189,89
57895,81
4946,100
79697,87
18989,70
44348,98
37468,91
47870,92
33205,100
17789,86
25472,100
17398,100
15382,92
61825,83
64128,93
55307,97
78961,99
25314,94
5722,100
26429,74
10905,94
23886,86
51194,72
32700,100
53381,76
71877,88
46931,100
57960,80
6209,100
23947,91
33918,99
79789,100
6608,94
67471,91
32347,95
18730,73
14440,85
50121,84
72573,100
18384,88
77738,94
30344,98
38963,100
26451,86
72702,80
39947,100
17657,95
24246,84
26888,95
64315,71
74687,75
58013,61
43634,87
69912,69
49613,100
30350,97
14455,100
31581,90
34343,86
22990,96
64336,98
29017,87
69881,100
23722,81
69266,98
32270,98
77736,81
2241,76
36991,100
34155,100
44490,73
25052,100
43229,70
59057,75
12563,98
76382,79
36855,100
14679,100
61138,96
11950,65
79888,72
8947,97
23816,97
27055,99
56129,81
76896,98
13679,100
38603,81
63914,74
54785,82
49015,96
70144,99
22337,99
39635,69
59204,88
53452,100
79895,100
63360,100
32001,94
75263,44
71171,96
41501,100
13953,90
44667,87
32992,77
18287,72
28672,100
55625,86
9517,100
17542,100
48692,99
71118,85
64250,99
67797,84
66277,95
17036,56
16744,94
7126,94
71379,96
18049,100
45293,100
67120,87
96,97
65468,100
32997,94
77166,77
60301,96
70529,98
32739,88
1735,100
25829,100
35147,94
65158,84
50478,67
23699,95
51382,95
47066,79
52027,100
43626,95
66913,100
40266,87
3560,72
63766,100
29953,97
79588,100
72716,91
1048,90
12884,90
50315,88
11100,76
63376,100
11522,98
13034,94
8664,82
1123,71
27433,81
73439,100
52679,98
71842,98
17834,50
61382,91
73802,85
70506,79
1798,87
69751,100
63655,100
73775,99
29828,77
57922,81
58613,97
50339,93
77172,93
17584,75
10537,83
20000,96
38808,93
42143,92
44540,87
79539,72
27028,96
26064,93
74707,100
17119,98
6666,90
1335,100
21971,73
46772,65
60235,80
65236,86
27589,73
66774,100
9756,100
5413,89
55144,87
59371,100
20135,79
54654,78
49310,95
11015,99
63197,93
27369,67
55107,88
76767,73
55727,98
22001,100
74630,100
38212,100
55566,97
67281,95
57565,88
3361,83
24588,99
38071,97
75809,91
12204,77
58673,94
22883,96
47849,87
64411,100
18066,77
38122,97
51693,100
16049,100
36162,94
56418,74
63753,91
17963,95
30319,98
44753,99
67467,76
69793,99
46135,92
14552,69
11696,100
16129,100
42518,100
3504,91
63217,99
21185,96
52307,93
79776,100
55789,68
78615,81
77518,100
65284,69
30003,98
669,96
62735,84
33178,82
8391,97
2932,91
72225,96
49849,96
57162,85
79749,65
13495,100
53819,95
52951,74
72859,75
34585,100
23609,61
27752,97
19148,73
78526,100
60267,89
248,80
72246,94
35879,70
48046,85
10375,98
8954,100
66799,100
42423,100
7226,82
24125,72
73333,86
19653,68
58675,67
366,100
26149,85
23795,78
35973,99
49677,96
5236,65
29064,89
42391,100
42697,80
58669,88
36714,63
54228,69
29781,100
78846,62
50556,94
69269,95
46117,92
52010,82
63607,100
5665,91
72820,100
48776,100
26310,100
26589,100
3765,91
46609,74
4688,78
56241,100
30652,86
39221,77
49573,88
49577,77
72042,100
43083,84
45909,98
75116,97
54539,85
76459,87
2362,64
25032,91
64784,95
11862,98
7355,86
67397,100
32200,100
4721,100
15284,100
68006,86
61324,88
4048,85
1225,100
68214,90
35621,100
63076,72
19984,91
77628,99
16364,90
8090,99
58973,100
41984,100
54452,93
71077,100
76181,100
69321,89
73975,100
11932,100
30866,100
59061,94
46556,100
26662,99
53656,86
15387,82
39145,68
59370,54
36671,94
8628,100
64904,99
61378,99
52107,100
52845,90
38682,86
79076,96
10032,70
61710,77
7124,99
27580,74
14723,93
23011,97
53644,100
51912,75
79609,99
79140,85
69497,62
24949,97
70557,84
62557,61
62212,99
19188,95
4427,99
45082,67
42767,99
28587,99
79861,86
79553,79
58329,100
38344,88
46583,65
52142,100
10864,99
62158,87
65774,95
30909,79
63167,56
2053,84
37391,82
73855,74
43688,100
43562,85
7224,100
11537,100
76483,97
17827,86
59029,70
51932,100
22129,97
61667,92
36631,91
26125,98
30253,86
38518,87
35449,100
28955,100
40486,100
16830,93
51629,100
47304,65
65177,87
26503,100
36990,91
29827,62
36159,81
19870,66
1780,98
30089,65
19161,88
54655,89
36568,78
60741,100
76708,95
63251,99
73291,100
61587,95
58722,100
23994,80
73963,100
50391,96
11541,100
4307,82
32684,84
74319,100
28110,100
43902,100
75786,99
24369,86
7967,93
64696,86
32088,98
17,93
9835,92
58190,90
3093,77
38405,87
21980,76
5589,76
58461,93
69792,68
52817,100
71245,97
1953,85
11244,96
11219,95
56419,86
69063,100
5932,96
16696,99
59900,57
56149,69
60685,100
39055,78
31810,81
56252,69
50280,100
4254,84
53879,89
7747,81
9931,98
48152,93
76796,90
66370,95
48433,100
58816,97
36251,89
14016,97
27200,73
76353,100
63393,77
69014,96
72788,96
63676,76
29812,100
78448,80
7873,75
64966,100
52416,100
70815,79
39558,98
23435,87
41905,68
74129,97
59790,86
30388,63
190,100
33746,95
60036,99
31014,94
55099,100
28926,100
3779,76
11700,68
29636,69
15584,66
46757,80
2877,100
62068,100
31274,100
31353,91
52404,73
64383,78
39047,70
6031,93
20520,89
79652,66
77953,65
61220,94
44407,69
60168,97
42114,92
30628,92
25467,98
11628,100
37318,93
70785,85
46073,80
52373,74
68936,81
28162,93
61094,92
5293,72
51748,100
5967,80
28996,89
41159,89
27071,100
41317,81
21269,100
38556,92
43618,96
13644,79
26156,90
27506,97
36177,100
54341,66
14331,89
75534,100
2207,97
44873,81
7638,72
7501,97
79912,88
10852,85
6769,75
35367,94
66473,99
12850,73
45531,95
52197,90
35601,95
23773,76
75601,95
25849,78
803,100
18007,97
20739,100
30810,92
31450,98
1236,100
30475,63
30218,100
60221,100
47439,81
5527,100
36966,97
27362,100
25919,84
14770,95
78239,100
2530,93
6557,88
18714,83
10931,73
54091,85
28260,99
49988,96
1095,98
57329,89
7394,100
59105,100
16563,87
60067,85
68934,92
35121,77
18974,69
46491,98
25528,95
64673,100
18550,91
75861,69
1164,93
67007,97
55981,98
65057,66
6489,100
60312,100
75400,100
9055,98
9871,92
5507,100
13507,91
13100,91
24585,100
17196,98
35180,92
47092,89
13845,86
66089,97
56247,73
17741,80
724,98
45155,100
13649,71
71306,100
19229,81
13514,85
31517,92
25575,100
29662,97
51779,76
12531,85
17854,65
2084,100
44647,100
7869,97
25998,60
12961,100
68698,73
4482,77
74211,72
47928,99
46866,92
8196,59
13546,100
8507,87
71279,100
57667,100
67673,85
30523,72
37784,75
11532,97
25020,81
19882,78
3554,100
10190,100
13629,100
46150,85
65343,99
15196,100
65012,77
14587,98
18808,93
20183,100
43494,98
15345,100
39470,66
71012,84
12237,89
69743,74
69073,100
53402,100
1922,96
53073,83
9927,95
67086,97
59457,100
11204,100
37694,100
71085,100
34859,86
9933,100
46774,81
12802,98
35788,90
56679,72
14077,94
39355,76
18908,95
38253,78
72619,100
65593,90
17729,75
11757,96
14778,99
4223,80
61323,96
15670,71
21558,80
38329,94
61035,61
49609,85
60387,81
39022,81
26571,71
4406,86
28391,81
61786,95
17464,82
8540,100
4602,100
17235,99
65646,100
57308,100
56438,93
37060,64
9533,76
54776,76
26898,93
79608,93
21952,100
21921,97
42010,95
4405,99
76649,98
5936,74
15928,100
71013,75
38787,80
18825,94
40977,95
54597,88
2813,89
21786,70
32817,79
21761,95
53617,100
11636,96
35464,96
19604,79
59008,78
3274,94
24362,98
29231,88
53754,90
34940,83
28879,100
12882,98
11331,100
2260,89
67180,100
41423,100
72090,100
1715,71
79598,97
1648,96
71151,49
30086,100
34510,78
8861,67
66394,72
16015,82
58916,91
77043,70
50166,100
49699,75
38323,100
25000,100
46060,90
59632,100
18359,92
66749,61
76853,100
24526,85
13684,94
61644,78
23097,79
76057,69
79688,100
12834,100
54332,100
64771,98
73737,97
64157,95
30614,96
63209,90
58936,100
15155,84
72370,100
4415,95
2642,95
73883,100
10184,81
19825,100
64145,95
64599,100
23453,79
32614,71
62960,94
24711,75
26500,86
62473,95
43037,62
55438,84
38100,100
4718,72
78215,94
72421,51
21430,95
6281,96
66813,70
12334,100
62191,100
22303,100
6465,65
26771,100
4582,100
61481,100
58550,91
14259,96
50606,99
62215,91
31704,90
29650,100
50663,88
57149,93
19181,100
43553,100
21500,98
11856,99
76251,100
63208,93
10202,92
70257,100
48770,94
58859,80
33359,91
40257,88
55172,77
65713,90
15803,100
62777,99
9761,98
34712,100
39627,93
12627,100
23104,52
65826,68
68694,100
39524,76
42169,100
56911,57
36883,79
16877,91
64803,74
16560,78
35689,71
37731,86
38945,92
78302,98
67153,100
6971,97
20369,73
20828,98
13363,77
57765,100
4744,99
67782,99
33374,100
11707,100
78649,100
22247,85
12157,82
49112,72
59849,92
63365,70
479,95
50297,98
12784,96
75661,100
50843,73
44685,78
6176,100
65494,94
14116,95
24084,75
67375,88
15357,89
397,98
6338,92
10259,76
56091,98
13266,79
64907,100
16029,98
9588,78
55266,96
11972,100
74026,75
60188,83
44415,88
11030,100
49055,84
473,67
23618,89
33064,68
62848,95
14474,96
41685,100
7338,72
38630,99
27903,90
30849,95
29616,64
55871,61
45186,92
65342,97
71531,97
23226,91
56141,61
8184,87
3669,94
75682,100
39086,100
7157,100
28525,87
48396,63
56662,100
43278,93
14372,77
77889,85
1704,93
6351,66
30853,95
18783,90
58161,99
16019,95
44974,84
5290,100
34253,72
12060,97
55758,81
22643,100
62476,100
1216,100
19306,100
54461,94
25790,91
75557,84
76349,100
54630,63
32573,93
56668,87
69746,97
11378,94
44502,53
60150,95
23602,71
56540,71
53740,68
46189,91
66906,88
46452,79
7741,90
6847,100
9860,74
58833,97
33114,100
59952,92
37192,100
56880,100
3569,96
11328,94
48074,100
24619,100
53851,100
36359,96
34593,94
35055,71
19536,91
53302,86
33890,87
25492,82
10101,99
45452,96
51843,79
74289,81
75021,68
30555,67
55100,73
15790,94
12973,80
29393,100
49144,90
53900,100
15463,83
34230,86
62927,93
2540,95
4435,97
12432,89
19360,84
7279,85
64092,80
55858,100
50230,70
65959,95
53671,100
39514,85
56338,100
3657,86
75696,92
60171,97
75270,100
48292,96
16535,75
27102,57
18156,71
53997,100
66253,100
61395,98
29564,94
79510,91
34502,92
57727,96
3252,64
64969,86
16660,77
66028,100
53946,100
31547,99
34500,77
25454,100
14860,73
65761,83
28491,77
65096,96
78851,79
74253,76
73939,100
32161,95
77201,99
3542,85
18496,100
35414,84
3311,65
73497,97
24839,83
1472,100
64220,89
19804,91
51628,80
73565,74
29088,82
54054,100
29821,93
37137,87
31682,100
29028,100
15813,95
63966,100
22105,100
37737,100
38812,100
44324,93
55158,81
34055,89
11336,71
9853,86
45937,100
72711,61
13077,100
46502,97
36404,78
13221,82
49695,51
33627,87
15737,91
43445,66
72550,99
34063,100
69997,90
52436,100
78875,92
22650,80
17135,90
30968,93
41066,93
69898,99
25947,56
52356,95
2904,96
46819,100
50296,89
13850,100
5676,75
4901,90
71930,100
52327,76
39560,78
76745,100
2356,95
19049,100
29633,88
20699,59
19010,87
8695,84
3654,98
15118,96
27091,77
49748,99
8202,98
65871,100
28774,95
10918,69
4633,100
9459,100
11564,74
28405,85
39682,69
16958,100
14561,95
16026,98
51531,99
35436,90
54093,78
37106,61
6208,54
45062,99
54997,89
34458,62
20741,70
17547,96
10004,100
5623,89
21555,99
16060,95
49777,83
35927,98
64370,89
69434,100
26282,100
35068,99
73278,91
45929,100
57449,89
78253,100
41827,68
79766,100
26180,91
33000,91
26455,86
6303,100
75662,95
64033,81
31162,97
46111,100
49510,100
57979,91
18901,95
1371,100
57188,100
75112,100
62901,87
40765,100
33562,100
45549,55
58318,97
51225,100
47589,100
44313,84
43154,55
3266,100
33733,100
6915,71
60832,86
14939,92
65630,97
76060,69
54335,96
57868,100
39871,95
10617,77
27501,84
42477,82
34833,97
45622,59
43731,100
8505,78
46126,64
69227,88
58495,100
8310,90
12217,93
41108,81
1173,52
18880,93
4992,93
74163,72
45738,93
40355,68
64855,100
6878,80
14968,97
66624,98
44739,80
55578,73
33667,100
42847,95
41147,82
17994,88
65315,98
47017,90
1724,92
78119,88
4540,67
72497,99
30633,93
40337,100
13334,82
40366,69
31976,80
63747,96
70232,96
73726,100
26198,86
40082,100
22246,96
63159,91
6171,93
46331,94
1525,87
15743,79
17642,97
10413,75
44186,100
34275,98
29915,100
40601,100
79816,94
60929,100
50535,82
22455,100
31919,99
33245,100
76293,100
16270,100
13669,96
4993,100
72230,97
75461,100
38390,61
14225,94
23892,100
31315,54
63893,71
20753,100
17478,83
52131,88
54383,88
10229,89
75239,95
30562,100
47609,99
59019,86
79024,91
78676,80
5901,93
36295,66
65970,71
50927,97
54019,72
60007,91
47103,91
75022,100
6587,85
11519,79
74876,71
20801,86
41430,99
27156,95
23410,87
12446,76
20065,100
55785,100
7041,96
37821,96
17343,89
27412,96
30332,97
79035,100
40293,93
55864,91
24744,100
3414,82
60957,100
40385,96
70751,100
67727,97
54908,100
23682,100
66923,88
3633,98
74173,77
3951,66
9460,89
53179,96
39291,96
42382,93
58824,83
5498,100
78361,94
14346,100
32514,84
67396,100
4456,100
69465,92
64654,100
37087,86
2116,73
66921,90
73818,98
59902,100
49950,100
46181,92
68606,100
14795,96
56736,96
28963,73
8115,81
79062,86
9461,100
53040,88
33801,100
39690,62
64647,95
11820,100
5091,100
69708,85
24510,100
40103,79
49,84
4910,91
33002,88
42677,79
3865,85
64689,81
37892,93
7559,65
17173,94
50192,73
4823,98
5133,100
67601,100
26255,91
57334,92
52671,86
12914,59
20035,95
5699,91
38761,100
10117,99
48530,77
73061,61
375,95
3407,88
37882,100
9560,98
33251,99
30209,100
76667,82
25861,58
57291,88
52687,100
64861,95
48765,93
6310,100
79177,86
32124,85
16033,80
42530,80
24212,81
37717,81
67395,96
7585,99
25395,100
62100,74
77609,76
65318,88
25479,100
22679,83
475,72
16727,78
12441,97
47199,99
17710,86
64090,81
57572,82
75891,100
62507,84
19842,100
71588,75
37474,79
715,73
14612,100
22728,98
38468,100
10929,93
42681,82
77450,100
4185,100
24093,72
74705,92
44878,100
30837,59
57566,93
57827,100
16528,100
78093,99
45375,95
24314,97
793,90
15997,100
54744,95
54260,100
33776,100
20087,60
57141,75
32437,100
51935,88
1652,85
4517,85
3368,84
28301,100
75680,81
75448,85
3064,100
16189,86
50976,99
68814,82
79779,73
32044,85
41167,58
32937,78
11130,96
47698,100
49639,71
77304,84
48920,75
71857,100
20016,100
22852,60
52602,93
26891,86
61828,100
60059,100
49923,100
54471,99
57253,100
14280,86
46504,94
35699,74
22791,72
14915,100
65145,100
35578,100
12429,97
59386,88
18845,90
32227,95
15150,100
23001,86
61081,94
879,83
10091,83
48249,100
22408,99
17125,100
64332,100
17832,90
10567,100
35232,91
36407,96
31995,69
46069,100
79322,56
1568,93
61269,79
26194,94
76147,84
26216,100
25559,80
49268,72
18424,79
56717,93
79584,90
75406,100
31453,95
50738,75
58810,87
76289,70
7988,100
49560,100
7944,98
47133,90
71294,94
54337,100
29052,95
68315,96
29813,94
65429,80
57613,95
40299,85
53870,81
58702,97
31042,96
54221,81
31908,95
46146,93
72049,97
69161,100
27659,96
53021,86
59996,100
66305,81
9023,100
28094,99
77496,57
44410,67
68586,100
69283,96
71050,100
1499,100
53135,77
29790,100
36921,85
20320,63
70661,100
57183,89
9172,93
68066,86
13101,100
19160,100
58307,82
35697,73
75490,100
3649,87
61686,100
26287,100
73491,99
5988,100
22487,95
66000,100
78075,83
42956,96
20709,75
71357,97
76440,92
57234,92
2198,91
20798,80
21475,100
33034,99
46303,100
27777,94
50896,100
62694,88
59927,82
28210,93
49544,98
242,80
5380,100
7597,100
8130,97
11154,90
28384,100
6027,94
69386,92
75611,93
38276,73
71631,100
65558,80
65204,71
13110,81
44272,100
77046,100
20075,85
23351,80
73589,98
39265,83
38226,78
75520,100
48075,96
45938,72
43088,51
50881,82
11955,86
26638,97
18856,99
74728,90
43854,75
69361,75
41432,79
53126,84
53015,100
28927,98
52117,94
24182,100
47003,72
18125,74
66220,96
75336,92
40511,97
50247,100
42072,100
44287,66
23026,85
43833,98
18021,98
38377,97
16963,97
45239,100
24737,100
24374,93
42472,95
39442,98
12013,60
31688,81
29059,100
33593,100
74956,66
25733,85
28179,100
65475,67
44473,77
7600,94
7072,100
40705,73
76478,100
73125,99
11046,95
4201,66
11262,98
63777,93
48453,62
28578,100
37723,84
11772,100
75188,90
73236,99
6852,84
70546,78
255,71
50588,71
52383,76
49753,80
26920,100
9488,66
58600,100
22956,83
59985,98
53195,100
61232,88
71393,81
8484,91
18190,98
79841,100
14427,97
27389,85
35028,76
14281,94
49537,94
13999,82
16141,88
68997,71
28590,91
43070,96
55326,88
60090,100
63379,100
33444,79
52317,81
1365,81
38202,100
48662,100
77591,86
50832,100
36387,76
22030,77
53532,97
25957,100
69975,100
22354,81
22080,100
5697,100
56799,91
39922,100
49237,100
17524,99
38625,99
79211,85
16269,100
54975,87
32274,70
13972,84
25948,95
4463,99
78039,99
26787,94
73712,64
72691,71
32076,100
47641,89
63148,93
52519,64
51014,90
5379,82
4127,96
2831,100
32483,82
29825,74
56414,97
75015,84
47775,95
42122,95
38969,97
73099,98
37974,83
43111,100
60092,98
47864,98
66852,100
48752,84
79890,94
53318,86
25246,100
61032,86
68276,92
43899,100
75311,100
31882,91
54532,88
50456,94
27426,100
73518,91
8681,66
45987,99
26899,100
36655,100
32019,78
79277,83
17910,86
10352,100
13368,91
142,72
2453,80
52406,76
10919,100
61929,59
8766,100
10839,64
53322,86
24280,93
64223,100
36339,91
23839,89
59455,79
21570,99
78792,100
22987,69
48464,61
31947,83
20333,86
62026,100
1035,75
61469,76
16617,92
77188,85
634,88
51047,97
14755,100
1470,88
75542,86
48897,96
21413,92
5538,98
48114,100
30926,100
29886,97
11889,67
6101,74
27095,94
41893,79
709,72
8125,99
49357,80
65853,100
1773,100
60163,69
34232,94
3730,100
13806,100
45144,94
79917,100
21539,61
12812,86
27955,99
16939,98
22083,96
28432,100
55733,86
62075,100
39618,61
7756,89
54400,89
36632,97
17735,100
22086,97
38846,79
778,100
67207,100
34843,96
24940,83
62419,100
35937,100
17446,87
3063,96
28255,83
16565,100
12016,100
67699,86
77544,89
1628,89
78777,100
55924,98
11583,100
43800,64
61499,99
30333,97
56805,91
26566,87
15927,100
65237,96
32458,100
5159,100
55146,89
76312,82
61421,94
15659,94
37099,81
61015,100
53426,89
48601,100
29186,89
76038,98
23065,88
19807,99
73774,100
75395,89
49826,72
72992,81
28765,90
15363,100
7067,75
39011,100
74536,90
2736,100
35978,100
47192,96
66320,85
2939,100
69961,79
76339,100
35580,97
48555,100
42323,99
73217,78
35229,93
52715,94
52144,92
75160,100
62065,100
26197,83
78270,59
56299,89
55644,100
72109,86
47152,100
54314,79
55348,81
44296,81
66139,82
72923,80
10389,70
25411,98
57423,96
4827,100
40388,78
34304,98
20887,76
